2025-10-31 17:06:27.480 DEBUG [USER-SERVICE,,] 1 --- [           main] o.s.web.client.RestTemplate              : HTTP GET http://service-discovery:8761/eureka/apps/
2025-10-31 17:06:27.530 DEBUG [USER-SERVICE,,] 1 --- [           main] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-10-31 17:06:27.565 DEBUG [USER-SERVICE,,] 1 --- [           main] o.s.web.client.RestTemplate              : Response 200 OK
2025-10-31 17:06:27.565 DEBUG [USER-SERVICE,,] 1 --- [           main] o.s.web.client.RestTemplate              : Reading to [org.springframework.cloud.netflix.eureka.http.EurekaApplications]
2025-10-31 17:06:27.579  INFO [USER-SERVICE,,] 1 --- [           main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2025-10-31 17:06:27.581  INFO [USER-SERVICE,,] 1 --- [           main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2025-10-31 17:06:27.584  INFO [USER-SERVICE,,] 1 --- [           main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-10-31 17:06:27.591  INFO [USER-SERVICE,,] 1 --- [           main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1761930387590 with initial instances count: 8
2025-10-31 17:06:27.600  INFO [USER-SERVICE,,] 1 --- [           main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application USER-SERVICE with eureka with status UP
2025-10-31 17:06:27.600  INFO [USER-SERVICE,,] 1 --- [           main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1761930387600, current=UP, previous=STARTING]
2025-10-31 17:06:27.603  INFO [USER-SERVICE,,] 1 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_USER-SERVICE/user-service-65cc56f849-5rcqs:USER-SERVICE:8700: registering service...
2025-10-31 17:06:27.614 DEBUG [USER-SERVICE,,] 1 --- [nfoReplicator-0] o.s.web.client.RestTemplate              : HTTP POST http://service-discovery:8761/eureka/apps/USER-SERVICE
2025-10-31 17:06:27.617 DEBUG [USER-SERVICE,,] 1 --- [nfoReplicator-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-10-31 17:06:27.626  INFO [USER-SERVICE,,] 1 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8700 (http) with context path '/user-service'
2025-10-31 17:06:27.627  INFO [USER-SERVICE,,] 1 --- [           main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8700
2025-10-31 17:06:27.634 DEBUG [USER-SERVICE,,] 1 --- [nfoReplicator-0] o.s.web.client.RestTemplate              : Writing [InstanceInfo [instanceId = user-service-65cc56f849-5rcqs:USER-SERVICE:8700, appName = USER-SERVICE, hostName = user-service, status = UP, ipAddr = 10.244.0.50, port = 8700, securePort = 443, dataCenterInfo = com.netflix.appinfo.MyDataCenterInfo@70e889e9] as "application/json"
2025-10-31 17:06:27.656  INFO [USER-SERVICE,,] 1 --- [           main] c.selimhorri.app.UserServiceApplication  : Started UserServiceApplication in 13.927 seconds (JVM running for 14.786)
2025-10-31 17:06:27.659 DEBUG [USER-SERVICE,,] 1 --- [nfoReplicator-0] o.s.web.client.RestTemplate              : Response 204 NO_CONTENT
2025-10-31 17:06:27.660  INFO [USER-SERVICE,,] 1 --- [nfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_USER-SERVICE/user-service-65cc56f849-5rcqs:USER-SERVICE:8700 - registration status: 204
2025-10-31 17:06:58.933 DEBUG [USER-SERVICE,,] 1 --- [freshExecutor-0] o.s.web.client.RestTemplate              : HTTP GET http://service-discovery:8761/eureka/apps/delta
2025-10-31 17:06:58.934 DEBUG [USER-SERVICE,,] 1 --- [freshExecutor-0] o.s.web.client.RestTemplate              : Accept=[application/json, application/*+json]
2025-10-31 17:06:58.935 DEBUG [USER-SERVICE,,] 1 --- [tbeatExecutor-0] o.s.web.client.RestTemplate              : HTTP PUT http://service-discovery:8761/eureka/apps/USER-SERVICE/user-service-65cc56f849-5rcqs:USER-SERVICE:8700?status=UP&lastDirtyTimestamp=1761930387600
